,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,76010,Charles,Acton,Charles Acton,"Acton, Charles",C. Acton,1942-01-11T00:00:00,Hillsdale,USA,Alma; Hillsdale/USA,6-6,210,0,24,Forward,Active,1610612745,Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,1967,1967,N,Y,Y,Undrafted,Undrafted,Undrafted
0,203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,1990-10-06T00:00:00,Baylor,USA,Baylor/USA,6-7,240,6,4,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,quincy_acy,2012,2018,Y,Y,Y,2012,2,37
0,76011,Alvan,Adams,Alvan Adams,"Adams, Alvan",A. Adams,1954-07-19T00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,210,12,33,Center,Active,1610612756,Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,1975,1987,N,Y,Y,1975,1,4
0,76012,Don,Adams,Don Adams,"Adams, Don",D. Adams,1947-11-27T00:00:00,Northwestern,USA,Northwestern/USA,6-7,210,6,10,Forward,Active,1610612765,Pistons,DET,pistons,Detroit,HISTADD_don_adams,1970,1976,N,Y,Y,1970,8,120
0,200801,Hassan,Adams,Hassan Adams,"Adams, Hassan",H. Adams,1984-06-20T00:00:00,Arizona,USA,Arizona/USA,,,1,,,Inactive,0,,,,,hassan_adams,2006,2008,N,Y,Y,2006,2,54
0,1629121,Jaylen,Adams,Jaylen Adams,"Adams, Jaylen",J. Adams,1996-05-04T00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,6-2,190,0,10,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,jaylen_adams,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,203919,Jordan,Adams,Jordan Adams,"Adams, Jordan",J. Adams,1994-07-08T00:00:00,UCLA,USA,UCLA/USA,6-5,209,2,3,Guard,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014,2015,Y,Y,Y,2014,1,22
0,149,Michael,Adams,Michael Adams,"Adams, Michael",M. Adams,1963-01-19T00:00:00,Boston College,USA,Boston College/USA,5-10,165,10,23,Guard,Active,1610612743,Nuggets,DEN,nuggets,Denver,michael_adams,1985,1995,N,Y,Y,1985,3,66
0,203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,7-0,265,5,12,Center,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,steven_adams,2013,2018,N,Y,Y,2013,1,12
0,912,Rafael,Addison,Rafael Addison,"Addison, Rafael",R. Addison,1964-07-22T00:00:00,Syracuse,USA,Syracuse/USA,6-8,241,5,7,Forward,Active,1610612751,Nets,NJN,nets,New Jersey,rafael_addison,1986,1996,N,Y,Y,1986,2,39
0,1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-10,255,1,13,Center-Forward,Active,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2018,N,Y,Y,2017,1,14
0,76015,Rick,Adelman,Rick Adelman,"Adelman, Rick",R. Adelman,1946-06-16T00:00:00,Loyola-Marymount,USA,Loyola Marymount/USA,6-2,175,6,5,Guard,Active,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_rick_adelman,1968,1974,N,Y,Y,1968,7,79
0,202399,Jeff,Adrien,Jeff Adrien,"Adrien, Jeff",J. Adrien,1986-02-10T00:00:00,Connecticut,USA,Connecticut/USA,,,5,,,Inactive,0,,,,,jeff_adrien,2010,2014,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,201167,Arron,Afflalo,Arron Afflalo,"Afflalo, Arron",A. Afflalo,1985-10-15T00:00:00,UCLA,USA,UCLA/USA,6-5,210,10,4,Guard,Active,1610612743,Nuggets,DEN,nuggets,Denver,arron_afflalo,2007,2017,N,Y,Y,2007,1,27
0,200772,Maurice,Ager,Maurice Ager,"Ager, Maurice",M. Ager,1984-02-09T00:00:00,Michigan State,USA,Michigan State/USA,,,3,,,Inactive,0,,,,,maurice_ager,2006,2010,Y,Y,Y,2006,1,28
0,76016,Mark,Aguirre,Mark Aguirre,"Aguirre, Mark",M. Aguirre,1959-12-10T00:00:00,DePaul,USA,DePaul/USA,6-6,232,12,7,Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_mark_aguirre,1981,1993,N,Y,Y,1981,1,1
0,201336,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,1984-05-27T00:00:00,Missouri State, ,Missouri State,6-2,190,3,2,Guard,Active,1610612748,Heat,MIA,heat,Miami,blake_ahearn,2007,2011,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,76017,Danny,Ainge,Danny Ainge,"Ainge, Danny",D. Ainge,1959-03-17T00:00:00,Brigham Young,USA,Brigham Young/USA,6-5,175,13,22,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,HISTADD_danny_ainge,1981,1994,N,Y,Y,1981,2,31
0,201582,Alexis,Ajinca,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,1988-05-06T00:00:00,"Saint Etienne, France",France,St. Etienne/France,7-2,248,7,42,Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008,2017,Y,Y,Y,2008,1,20
0,76018,Henry,Akin,Henry Akin,"Akin, Henry",H. Akin,1944-07-31T00:00:00,Morehead State,USA,William Carey; Morehead State/USA,6-10,225,1,10,Center,Active,1610612752,Knicks,NYK,knicks,New York,HISTADD_henry_akin,1966,1967,N,Y,Y,1966,2,11
0,203006,Josh,Akognon,Josh Akognon,"Akognon, Josh",J. Akognon,1986-02-10T00:00:00,Cal State-Fullerton,USA,Cal State-Fullerton/USA,5-11,185,1,10,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,josh_akognon,2012,2012,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1629152,DeVaughn,Akoon-Purcell,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,1993-06-05T00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,,,0,,,Inactive,0,,,,,devaughn_akoon-purcell,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,202374,Solomon,Alabi,Solomon Alabi,"Alabi, Solomon",S. Alabi,1988-03-21T00:00:00,Florida State,Nigeria,Florida State/Nigeria,7-1,252,2,50,Center,Active,1610612761,Raptors,TOR,raptors,Toronto,solomon_alabi,2010,2011,Y,Y,Y,2010,2,50
0,76019,Mark,Alarie,Mark Alarie,"Alarie, Mark",M. Alarie,1963-12-11T00:00:00,Duke,USA,Duke/USA,6-8,217,4,31,Forward,Active,1610612764,Bullets,WAS,wizards,Washington,HISTADD_mark_alarie,1986,1990,N,Y,Y,1986,1,18
0,76020,Gary,Alcorn,Gary Alcorn,"Alcorn, Gary",G. Alcorn,1936-10-08T00:00:00,Fresno State,USA,Fresno City Coll. CA (J.C.); Fresno State/USA,6-9,225,1,24,Center,Active,1610612765,Pistons,DET,pistons,Detroit,HISTADD_gary_alcorn,1959,1960,N,Y,Y,1959,3,16
0,203128,Furkan,Aldemir,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,1991-08-09T00:00:00,Galatasaray,Turkey,Galatasaray/Turkey,6-10,240,1,19,Forward-Center,Active,1610612755,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014,2014,N,Y,Y,2012,2,53
0,202332,Cole,Aldrich,Cole Aldrich,"Aldrich, Cole",C. Aldrich,1988-10-31T00:00:00,Kansas,USA,Kansas/USA,6-11,253,8,45,Center,Active,1610612752,Knicks,NYK,knicks,New York,cole_aldrich,2010,2017,Y,Y,Y,2010,1,11
0,200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,1985-07-19T00:00:00,Texas,USA,Texas/USA,6-11,260,12,12,Forward,Active,1610612759,Spurs,SAS,spurs,San Antonio,lamarcus_aldridge,2006,2018,N,Y,Y,2006,1,2
0,76021,Chuck,Aleksinas,Chuck Aleksinas,"Aleksinas, Chuck",C. Aleksinas,1959-02-26T00:00:00,Connecticut,USA,Kentucky; Connecticut/USA,6-11,260,0,50,Center,Active,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_chuck_aleksinas,1984,1984,N,Y,Y,1982,4,76
0,1626146,Cliff,Alexander,Cliff Alexander,"Alexander, Cliff",C. Alexander,1995-11-16T00:00:00,Kansas,USA,Kansas/USA,6-8,240,1,34,Forward,Active,1610612757,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015,2015,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,1973-06-22T00:00:00,Virginia,USA,Virginia/USA,6-1,190,7,12,Guard,Active,1610612759,Spurs,SAS,spurs,San Antonio,cory_alexander,1995,2004,N,Y,Y,1995,1,29
0,2042,Courtney,Alexander,Courtney Alexander,"Alexander, Courtney",C. Alexander,1977-04-27T00:00:00,Fresno State,USA,Fresno State/USA,6-5,205,3,32,Guard,Active,1610612764,Wizards,WAS,wizards,Washington,courtney_alexander,2000,2003,N,Y,Y,2000,1,13
0,76022,Gary,Alexander,Gary Alexander,"Alexander, Gary",G. Alexander,1969-11-01T00:00:00,South Florida,USA,South Florida/USA,6-7,240,0,16,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,HISTADD_gary_alexander,1993,1993,N,Y,Y,Undrafted,Undrafted,Undrafted
0,201570,Joe,Alexander,Joe Alexander,"Alexander, Joe",J. Alexander,1986-12-26T00:00:00,West Virginia, ,West Virginia,6-8,230,2,20,Forward,Active,1610612749,Bucks,MIL,bucks,Milwaukee,joe_alexander,2008,2009,Y,Y,Y,2008,1,8
0,2349,Victor,Alexander,Victor Alexander,"Alexander, Victor",V. Alexander,1969-08-31T00:00:00,Iowa State,USA,Iowa State/USA,6-10,265,4,9,Forward,Active,1610612744,Warriors,GOS,warriors,Golden State,victor_alexander,1991,2001,N,Y,Y,1991,1,17
0,76024,Steve,Alford,Steve Alford,"Alford, Steve",S. Alford,1964-11-23T00:00:00,Indiana,USA,Indiana/USA,6-2,183,3,4,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_steve_alford,1987,1990,N,Y,Y,1987,2,26
0,76028,Bob,Allen,Bob Allen,"Allen, Bob",B. Allen,1946-07-17T00:00:00,Marshall,USA,Marshall/USA,6-9,205,0,50,Forward,Active,1610612744,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968,1968,N,Y,Y,1968,6,71
0,1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,1995-10-08T00:00:00,Duke,USA,Duke University/USA,6-5,198,0,24,Guard,Active,1610612762,Jazz,UTA,jazz,Utah,grayson_allen,2018,2018,Y,Y,Y,2018,1,21
0,1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-11,237,1,31,Center,Active,1610612751,Nets,BKN,nets,Brooklyn,jarrett_allen,2017,2018,N,Y,Y,2017,1,22
0,706,Jerome,Allen,Jerome Allen,"Allen, Jerome",J. Allen,1973-01-28T00:00:00,Pennsylvania,USA,Pennsylvania/USA,6-4,184,1,53,Guard,Active,1610612754,Pacers,IND,pacers,Indiana,jerome_allen,1995,1996,N,Y,Y,1995,2,49
0,1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,1993-01-15T00:00:00,Arizona,USA,ArizonaUSA/USA,6-3,200,1,45,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,kadeem_allen,2017,2017,Y,Y,Y,2017,2,53
0,202730,Lavoy,Allen,Lavoy Allen,"Allen, Lavoy",L. Allen,1989-02-04T00:00:00,Temple,USA,Temple/USA,6-9,260,6,5,Forward-Center,Active,1610612754,Pacers,IND,pacers,Indiana,lavoy_allen,2011,2016,Y,Y,Y,2011,2,50
0,76027,Lucius,Allen,Lucius Allen,"Allen, Lucius",L. Allen,1947-09-26T00:00:00,UCLA,USA,UCLA/USA,6-2,175,9,42,Guard,Active,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_lucius_allen,1969,1978,N,Y,Y,1969,1,3
0,2124,Malik,Allen,Malik Allen,"Allen, Malik",M. Allen,1978-06-27T00:00:00,Villanova,USA,Villanova/USA,6-10,255,10,35,Forward,Active,1610612748,Heat,MIA,heat,Miami,malik_allen,2001,2010,N,Y,Y,Undrafted,Undrafted,Undrafted
0,76025,Randy,Allen,Randy Allen,"Allen, Randy",R. Allen,1965-01-26T00:00:00,Florida State,USA,Florida State/USA,6-8,220,1,33,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,HISTADD_randy_allen,1988,1989,N,Y,Y,Undrafted,Undrafted,Undrafted
0,951,Ray,Allen,Ray Allen,"Allen, Ray",R. Allen,1975-07-20T00:00:00,Connecticut,USA,Connecticut/USA,6-5,205,17,34,Guard,Active,1610612749,Bucks,MIL,bucks,Milwaukee,ray_allen,1996,2013,N,Y,Y,1996,1,5
0,2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,1982-01-11T00:00:00,Oklahoma State,USA,Oklahoma State/USA,,,13,,,Inactive,0,,,,,tony_allen,2004,2017,N,Y,Y,2004,1,25
0,76029,Odis,Allison,Odis Allison,"Allison, Odis",O. Allison,1949-10-02T00:00:00,Nevada-Las Vegas,USA,Laney Coll. CA (J.C.); Nevada-Las Vegas/USA,6-6,195,0,22,Forward,Active,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971,1971,N,Y,Y,1971,5,76
0,200984,Lance,Allred,Lance Allred,"Allred, Lance",L. Allred,1981-02-02T00:00:00,Weber State,USA,Weber State/USA,6-11,250,1,41,Center,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lance_allred,2007,2007,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,76030,Darrell,Allums,Darrell Allums,"Allums, Darrell",D. Allums,1958-09-12T00:00:00,UCLA,USA,UCLA/USA,6-8,220,0,32,Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980,1980,N,Y,Y,1980,5,103
0,201165,Morris,Almond,Morris Almond,"Almond, Morris",M. Almond,1985-02-02T00:00:00,Rice,USA,Rice/USA,6-6,225,3,21,Guard,Active,1610612762,Jazz,UTA,jazz,Utah,morris_almond,2007,2011,Y,Y,Y,2007,1,25
0,308,Derrick,Alston,Derrick Alston,"Alston, Derrick",D. Alston,1972-08-20T00:00:00,Duquesne,USA,Duquesne/USA,,,2,,,Inactive,0,,,,,derrick_alston,1994,1996,N,Y,Y,1994,2,33
0,1747,Rafer,Alston,Rafer Alston,"Alston, Rafer",R. Alston,1976-07-24T00:00:00,Fresno State,USA,Fresno State/USA,6-2,175,10,11,Guard,Active,1610612745,Rockets,HOU,rockets,Houston,rafer_alston,1999,2009,Y,Y,Y,1998,2,39
0,1824,Peter,Aluma,Peter Aluma,"Aluma, Peter",P. Aluma,1973-04-26T00:00:00,Liberty,USA,Liberty/USA,,,0,,,Inactive,0,,,,,peter_aluma,1998,1998,N,Y,Y,Undrafted,Undrafted,Undrafted
0,680,John,Amaechi,John Amaechi,"Amaechi, John",J. Amaechi,1970-11-26T00:00:00,Penn State,England,Penn State ''95/England,6-10,270,5,13,Forward-Center,Active,1610612753,Magic,ORL,magic,Orlando,john_amaechi,1995,2002,N,Y,Y,Undrafted,Undrafted,Undrafted
0,732,Ashraf,Amaya,Ashraf Amaya,"Amaya, Ashraf",A. Amaya,1971-11-23T00:00:00,Southern Illinois,USA,Southern Illinois/USA,,,1,,,Inactive,0,,,,,ashraf_amaya,1995,1996,N,Y,Y,Undrafted,Undrafted,Undrafted
0,202329,Al-Farouq,Aminu,Al-Farouq Aminu,"Aminu, Al-Farouq",A. Aminu,1990-09-21T00:00:00,Wake Forest,USA,Wake Forest/USA,6-9,220,8,8,Forward,Active,1610612757,Trail Blazers,POR,blazers,Portland,al-farouq_aminu,2010,2018,N,Y,Y,2010,1,8
0,200811,Lou,Amundson,Lou Amundson,"Amundson, Lou",L. Amundson,1982-12-07T00:00:00,Nevada-Las Vegas,USA,Nevada-Las Vegas/USA,6-9,220,10,17,Forward,Active,1610612756,Suns,PHX,suns,Phoenix,lou_amundson,2006,2015,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,76034,Bob,Anderegg,Bob Anderegg,"Anderegg, Bob",B. Anderegg,1937-08-24T00:00:00,Michigan State,USA,Michigan State/USA,6-3,200,0,18,Forward,Active,1610612752,Knicks,NYK,knicks,New York,HISTADD_bob_anderegg,1959,1959,N,Y,Y,1959,3,20
0,2365,Chris,Andersen,Chris Andersen,"Andersen, Chris",C. Andersen,1978-07-07T00:00:00,Blinn,USA,Blinn Junior College (TX)/USA,,,14,,,Inactive,0,,,,,chris_andersen,2001,2016,N,Y,Y,Undrafted,Undrafted,Undrafted
0,2431,David,Andersen,David Andersen,"Andersen, David",D. Andersen,1980-06-23T00:00:00,"Frankston, Australia",USA,"Frankston, Australia/USA",,,19,,,Inactive,0,,,,,david_andersen,2009,2017,N,Y,Y,2002,2,36
0,101187,Alan,Anderson,Alan Anderson,"Anderson, Alan",A. Anderson,1982-10-16T00:00:00,Michigan State,USA,Michigan State/USA,6-6,220,8,9,Forward-Guard,Active,1610612751,Nets,BKN,nets,Brooklyn,alan_anderson,2005,2016,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,202079,Antonio,Anderson,Antonio Anderson,"Anderson, Antonio",A. Anderson,1985-06-05T00:00:00,Memphis,USA,Memphis/USA,,,1,,,Inactive,0,,,,,antonio_anderson,2009,2009,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,76035,Cliff,Anderson,Cliff Anderson,"Anderson, Cliff",C. Anderson,1944-09-07T00:00:00,Saint Joseph's,USA,St. Joseph's (PA)/USA,6-2,200,2,26,Guard,Active,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_cliff_anderson,1967,1970,N,Y,Y,1967,4,35
0,76036,Daniel,Anderson,Daniel Anderson,"Anderson, Daniel",D. Anderson,1951-01-01T00:00:00,Southern California,USA,USC/USA,6-2,185,1,33,Guard,Active,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_daniel_anderson,1974,1975,N,Y,Y,1974,6,92
0,1507,Derek,Anderson,Derek Anderson,"Anderson, Derek",D. Anderson,1974-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-5,195,11,1,Guard,Active,1610612757,Trail Blazers,POR,blazers,Portland,derek_anderson,1997,2007,N,Y,Y,1997,1,13
0,76037,Dwight,Anderson,Dwight Anderson,"Anderson, Dwight",D. Anderson,1960-12-28T00:00:00,Southern California,USA,Kentucky; USC/USA,6-3,185,0,20,Guard,Active,1610612743,Nuggets,DEN,nuggets,Denver,HISTADD_dwight_anderson,1982,1982,N,Y,Y,1982,2,41
0,944,Eric,Anderson,Eric Anderson,"Anderson, Eric",E. Anderson,1970-05-26T00:00:00,Indiana,USA,Indiana/USA,6-9,220,1,42,Forward,Active,1610612752,Knicks,NYK,knicks,New York,eric_anderson,1992,1993,N,Y,Y,Undrafted,Undrafted,Undrafted
0,246,Greg,Anderson,Greg Anderson,"Anderson, Greg",G. Anderson,1964-06-22T00:00:00,Houston,USA,Houston/USA,6-10,250,9,0,Center-Forward,Active,1610612759,Spurs,SAS,spurs,San Antonio,greg_anderson,1987,1997,N,Y,Y,1987,1,23
0,202341,James,Anderson,James Anderson,"Anderson, James",J. Anderson,1989-03-25T00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-6,213,5,5,Guard-Forward,Active,1610612759,Spurs,SAS,spurs,San Antonio,james_anderson,2010,2015,Y,Y,Y,2010,1,20
0,76040,Jerome,Anderson,Jerome Anderson,"Anderson, Jerome",J. Anderson,1953-10-09T00:00:00,West Virginia,USA,West Virginia/USA,6-5,195,1,21-23,Guard,Active,1610612754,Pacers,IND,pacers,Indiana,HISTADD_jerome_anderson,1975,1976,N,Y,Y,1975,3,53
0,1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,1993-11-19T00:00:00,Virginia,USA,Virginia/USA,6-6,230,3,1,Guard-Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,justin_anderson,2015,2018,Y,Y,Y,2015,1,21
0,72,Kenny,Anderson,Kenny Anderson,"Anderson, Kenny",K. Anderson,1970-10-09T00:00:00,Georgia Tech,USA,Georgia Tech '93/USA,,,13,,,Inactive,0,,,,,kenny_anderson,1991,2004,N,Y,Y,1991,1,2
0,76041,Kim,Anderson,Kim Anderson,"Anderson, Kim",K. Anderson,1955-05-12T00:00:00,Missouri,USA,Missouri/USA,6-7,200,0,42,Forward,Active,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_kim_anderson,1978,1978,N,Y,Y,1978,7,146
0,203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230,4,1,Forward,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,kyle_anderson,2014,2018,Y,Y,Y,2014,1,30
0,76042,Michael,Anderson,Michael Anderson,"Anderson, Michael",M. Anderson,1966-03-23T00:00:00,Drexel,USA,Drexel/USA,5-11,184,0,10,Guard,Active,1610612759,Spurs,SAS,spurs,San Antonio,HISTADD_michael_anderson,1988,1988,N,Y,Y,1988,3,73
0,76043,Mitchell,Anderson,Mitchell Anderson,"Anderson, Mitchell",M. Anderson,1960-09-23T00:00:00,Bradley,USA,Bradley/USA,6-8,195,2,11,Forward,Active,1610612762,Jazz,UTA,jazz,Utah,HISTADD_jj_anderson,1982,1984,N,Y,Y,1982,2,36
0,98,Nick,Anderson,Nick Anderson,"Anderson, Nick",N. Anderson,1968-01-20T00:00:00,Illinois,USA,Illinois ''90/USA,6-6,228,13,5,Forward-Guard,Active,1610612753,Magic,ORL,magic,Orlando,nick_anderson,1989,2002,N,Y,Y,1989,1,11
0,76045,Richard,Anderson,Richard Anderson,"Anderson, Richard",R. Anderson,1960-11-19T00:00:00,California-Santa Barbara,USA,California-Santa Barbara/USA,6-10,240,5,35,Forward,Active,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_richard_anderson,1982,1989,N,Y,Y,1982,2,32
