,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,BIRTHDATE,COUNTRY,DISPLAY_FI_LAST,DLEAGUE_FLAG,DRAFT_NUMBER,DRAFT_ROUND,DRAFT_YEAR,FIRST_NAME,HEIGHT,JERSEY,LAST_AFFILIATION,LAST_NAME,NBA_FLAG,POSITION,SCHOOL,SEASON_EXP,WEIGHT
10,101165.0,"Acker, Alex",Alex Acker,0.0,2005,2008,alex_acker,0.0,,,,,Y,1983-01-21T00:00:00,USA,A. Acker,Y,60,2,2005,Alex,6-5,3,Pepperdine/USA,Acker,Y,Guard,Pepperdine,2.0,185
11,76008.0,"Ackerman, Donald",Donald Ackerman,0.0,1953,1953,HISTADD_buddy_ackerman,0.0,,,,,Y,1930-09-04T00:00:00,USA,D. Ackerman,N,,2,1953,Donald,6-0, ,Long Island University/USA,Ackerman,Y,Guard,Long Island-Brooklyn,0.0,183
12,76009.0,"Acres, Mark",Mark Acres,0.0,1987,1992,HISTADD_mark_acres,0.0,,,,,Y,1962-11-15T00:00:00,USA,M. Acres,N,40,2,1985,Mark,6-11,42,Oral Roberts/USA,Acres,Y,Center,Oral Roberts,5.0,220
13,76010.0,"Acton, Charles",Charles Acton,0.0,1967,1967,HISTADD_bud_acton,0.0,,,,,Y,1942-01-11T00:00:00,USA,C. Acton,N,Undrafted,Undrafted,Undrafted,Charles,6-6,24,Alma; Hillsdale/USA,Acton,Y,Forward,Hillsdale,0.0,210
14,203112.0,"Acy, Quincy",Quincy Acy,1.0,2012,2018,quincy_acy,1610612751.0,Brooklyn,Nets,BKN,nets,Y,1990-10-06T00:00:00,USA,Q. Acy,Y,37,2,2012,Quincy,6-7,4,Baylor/USA,Acy,Y,Forward,Baylor,6.0,240
15,76011.0,"Adams, Alvan",Alvan Adams,0.0,1975,1987,HISTADD_alvan_adams,0.0,,,,,Y,1954-07-19T00:00:00,USA,A. Adams,N,4,1,1975,Alvan,6-9,33,Oklahoma/USA,Adams,Y,Center,Oklahoma,12.0,210
16,76012.0,"Adams, Don",Don Adams,0.0,1970,1976,HISTADD_don_adams,0.0,,,,,Y,1947-11-27T00:00:00,USA,D. Adams,N,120,8,1970,Don,6-7,10,Northwestern/USA,Adams,Y,Forward,Northwestern,6.0,210
17,200801.0,"Adams, Hassan",Hassan Adams,0.0,2006,2008,hassan_adams,0.0,,,,,Y,1984-06-20T00:00:00,USA,H. Adams,N,54,2,2006,Hassan,,,Arizona/USA,Adams,Y,,Arizona,1.0,
18,1629121.0,"Adams, Jaylen",Jaylen Adams,0.0,2018,2018,jaylen_adams,0.0,,,,,Y,1996-05-04T00:00:00,USA,J. Adams,Y,Undrafted,Undrafted,Undrafted,Jaylen,6-2,10,St. Bonaventure/USA,Adams,Y,Guard,St. Bonaventure,0.0,190
19,203919.0,"Adams, Jordan",Jordan Adams,0.0,2014,2015,jordan_adams,0.0,,,,,Y,1994-07-08T00:00:00,USA,J. Adams,Y,22,1,2014,Jordan,6-5,3,UCLA/USA,Adams,Y,Guard,UCLA,2.0,209
20,149.0,"Adams, Michael",Michael Adams,0.0,1985,1995,michael_adams,0.0,,,,,Y,1963-01-19T00:00:00,USA,M. Adams,N,66,3,1985,Michael,5-10,23,Boston College/USA,Adams,Y,Guard,Boston College,10.0,165
21,203500.0,"Adams, Steven",Steven Adams,1.0,2013,2018,steven_adams,1610612760.0,Oklahoma City,Thunder,OKC,thunder,Y,1993-07-20T00:00:00,New Zealand,S. Adams,N,12,1,2013,Steven,7-0,12,Pittsburgh/New Zealand,Adams,Y,Center,Pittsburgh,5.0,265
22,912.0,"Addison, Rafael",Rafael Addison,0.0,1986,1996,rafael_addison,0.0,,,,,Y,1964-07-22T00:00:00,USA,R. Addison,N,39,2,1986,Rafael,6-8,7,Syracuse/USA,Addison,Y,Forward,Syracuse,5.0,241
23,1628389.0,"Adebayo, Bam",Bam Adebayo,1.0,2017,2018,bam_adebayo,1610612748.0,Miami,Heat,MIA,heat,Y,1997-07-18T00:00:00,USA,B. Adebayo,N,14,1,2017,Bam,6-10,13,Kentucky/USA,Adebayo,Y,Center-Forward,Kentucky,1.0,255
24,1629061.0,"Adel, Deng",Deng Adel,0.0,2018,2018,deng_adel,0.0,,,,,Y,,,,,,,,,,,,,,,,,
25,76015.0,"Adelman, Rick",Rick Adelman,0.0,1968,1974,HISTADD_rick_adelman,0.0,,,,,Y,1946-06-16T00:00:00,USA,R. Adelman,N,79,7,1968,Rick,6-2,5,Loyola Marymount/USA,Adelman,Y,Guard,Loyola-Marymount,6.0,175
26,202399.0,"Adrien, Jeff",Jeff Adrien,0.0,2010,2014,jeff_adrien,0.0,,,,,Y,1986-02-10T00:00:00,USA,J. Adrien,Y,Undrafted,Undrafted,Undrafted,Jeff,,,Connecticut/USA,Adrien,Y,,Connecticut,5.0,
27,201167.0,"Afflalo, Arron",Arron Afflalo,1.0,2007,2017,arron_afflalo,1610612753.0,Orlando,Magic,ORL,magic,Y,1985-10-15T00:00:00,USA,A. Afflalo,N,27,1,2007,Arron,6-5,4,UCLA/USA,Afflalo,Y,Guard,UCLA,10.0,210
28,200772.0,"Ager, Maurice",Maurice Ager,0.0,2006,2010,maurice_ager,0.0,,,,,Y,1984-02-09T00:00:00,USA,M. Ager,Y,28,1,2006,Maurice,,,Michigan State/USA,Ager,Y,,Michigan State,3.0,
29,76016.0,"Aguirre, Mark",Mark Aguirre,0.0,1981,1993,HISTADD_mark_aguirre,0.0,,,,,Y,1959-12-10T00:00:00,USA,M. Aguirre,N,1,1,1981,Mark,6-6,7,DePaul/USA,Aguirre,Y,Forward,DePaul,12.0,232
30,201336.0,"Ahearn, Blake",Blake Ahearn,0.0,2007,2011,blake_ahearn,0.0,,,,,Y,1984-05-27T00:00:00, ,B. Ahearn,Y,Undrafted,Undrafted,Undrafted,Blake,6-2,2,Missouri State,Ahearn,Y,Guard,Missouri State,3.0,190
31,76017.0,"Ainge, Danny",Danny Ainge,0.0,1981,1994,HISTADD_danny_ainge,0.0,,,,,Y,1959-03-17T00:00:00,USA,D. Ainge,N,31,2,1981,Danny,6-5,22,Brigham Young/USA,Ainge,Y,Guard,Brigham Young,13.0,175
32,201582.0,"Ajinca, Alexis",Alexis Ajinca,1.0,2008,2017,alexis_ajinca,1610612740.0,New Orleans,Pelicans,NOP,pelicans,Y,1988-05-06T00:00:00,France,A. Ajinca,Y,20,1,2008,Alexis,7-2,42,St. Etienne/France,Ajinca,Y,Center,"Saint Etienne, France",7.0,248
33,76018.0,"Akin, Henry",Henry Akin,0.0,1966,1967,HISTADD_henry_akin,0.0,,,,,Y,1944-07-31T00:00:00,USA,H. Akin,N,11,2,1966,Henry,6-10,10,William Carey; Morehead State/USA,Akin,Y,Center,Morehead State,1.0,225
34,203006.0,"Akognon, Josh",Josh Akognon,0.0,2012,2012,josh_akognon,0.0,,,,,Y,1986-02-10T00:00:00,USA,J. Akognon,Y,Undrafted,Undrafted,Undrafted,Josh,5-11,10,Cal State-Fullerton/USA,Akognon,Y,Guard,Cal State-Fullerton,1.0,185
35,1629152.0,"Akoon-Purcell, DeVaughn",DeVaughn Akoon-Purcell,0.0,2018,2018,devaughn_akoon-purcell,0.0,,,,,Y,1993-06-05T00:00:00,Trinidad and Tobago,D. Akoon-Purcell,Y,Undrafted,Undrafted,Undrafted,DeVaughn,,,Illinois State/Trinidad and Tobago,Akoon-Purcell,Y,,Illinois State,0.0,
36,202374.0,"Alabi, Solomon",Solomon Alabi,0.0,2010,2011,solomon_alabi,0.0,,,,,Y,1988-03-21T00:00:00,Nigeria,S. Alabi,Y,50,2,2010,Solomon,7-1,50,Florida State/Nigeria,Alabi,Y,Center,Florida State,2.0,252
37,76019.0,"Alarie, Mark",Mark Alarie,0.0,1986,1990,HISTADD_mark_alarie,0.0,,,,,Y,1963-12-11T00:00:00,USA,M. Alarie,N,18,1,1986,Mark,6-8,31,Duke/USA,Alarie,Y,Forward,Duke,4.0,217
38,76020.0,"Alcorn, Gary",Gary Alcorn,0.0,1959,1960,HISTADD_gary_alcorn,0.0,,,,,Y,1936-10-08T00:00:00,USA,G. Alcorn,N,16,3,1959,Gary,6-9,24,Fresno City Coll. CA (J.C.); Fresno State/USA,Alcorn,Y,Center,Fresno State,1.0,225
39,203128.0,"Aldemir, Furkan",Furkan Aldemir,0.0,2014,2014,furkan_aldemir,0.0,,,,,Y,1991-08-09T00:00:00,Turkey,F. Aldemir,N,53,2,2012,Furkan,6-10,19,Galatasaray/Turkey,Aldemir,Y,Forward-Center,Galatasaray,1.0,240
40,202332.0,"Aldrich, Cole",Cole Aldrich,1.0,2010,2017,cole_aldrich,1610612750.0,Minnesota,Timberwolves,MIN,timberwolves,Y,1988-10-31T00:00:00,USA,C. Aldrich,Y,11,1,2010,Cole,6-11,45,Kansas/USA,Aldrich,Y,Center,Kansas,8.0,253
41,200746.0,"Aldridge, LaMarcus",LaMarcus Aldridge,1.0,2006,2018,lamarcus_aldridge,1610612759.0,San Antonio,Spurs,SAS,spurs,Y,1985-07-19T00:00:00,USA,L. Aldridge,N,2,1,2006,LaMarcus,6-11,12,Texas/USA,Aldridge,Y,Forward,Texas,12.0,260
42,76021.0,"Aleksinas, Chuck",Chuck Aleksinas,0.0,1984,1984,HISTADD_chuck_aleksinas,0.0,,,,,Y,1959-02-26T00:00:00,USA,C. Aleksinas,N,76,4,1982,Chuck,6-11,50,Kentucky; Connecticut/USA,Aleksinas,Y,Center,Connecticut,0.0,260
43,1626146.0,"Alexander, Cliff",Cliff Alexander,0.0,2015,2015,cliff_alexander,0.0,,,,,Y,1995-11-16T00:00:00,USA,C. Alexander,Y,Undrafted,Undrafted,Undrafted,Cliff,6-8,34,Kansas/USA,Alexander,Y,Forward,Kansas,1.0,240
44,724.0,"Alexander, Cory",Cory Alexander,0.0,1995,2004,cory_alexander,0.0,,,,,Y,1973-06-22T00:00:00,USA,C. Alexander,N,29,1,1995,Cory,6-1,12,Virginia/USA,Alexander,Y,Guard,Virginia,7.0,190
45,2042.0,"Alexander, Courtney",Courtney Alexander,0.0,2000,2003,courtney_alexander,0.0,,,,,Y,1977-04-27T00:00:00,USA,C. Alexander,N,13,1,2000,Courtney,6-5,32,Fresno State/USA,Alexander,Y,Guard,Fresno State,3.0,205
46,76022.0,"Alexander, Gary",Gary Alexander,0.0,1993,1993,HISTADD_gary_alexander,0.0,,,,,Y,1969-11-01T00:00:00,USA,G. Alexander,N,Undrafted,Undrafted,Undrafted,Gary,6-7,16,South Florida/USA,Alexander,Y,Forward,South Florida,0.0,240
47,201570.0,"Alexander, Joe",Joe Alexander,0.0,2008,2009,joe_alexander,0.0,,,,,Y,1986-12-26T00:00:00, ,J. Alexander,Y,8,1,2008,Joe,6-8,20,West Virginia,Alexander,Y,Forward,West Virginia,2.0,230
48,2349.0,"Alexander, Victor",Victor Alexander,0.0,1991,2001,victor_alexander,0.0,,,,,Y,1969-08-31T00:00:00,USA,V. Alexander,N,17,1,1991,Victor,6-10,9,Iowa State/USA,Alexander,Y,Forward,Iowa State,4.0,265
49,76024.0,"Alford, Steve",Steve Alford,0.0,1987,1990,HISTADD_steve_alford,0.0,,,,,Y,1964-11-23T00:00:00,USA,S. Alford,N,26,2,1987,Steve,6-2,4,Indiana/USA,Alford,Y,Guard,Indiana,3.0,183
50,1628959.0,"Alkins, Rawle",Rawle Alkins,0.0,2018,2018,rawle_alkins,0.0,,,,,Y,,,,,,,,,,,,,,,,,
51,76028.0,"Allen, Bob",Bob Allen,0.0,1968,1968,HISTADD_bob_allen,0.0,,,,,Y,1946-07-17T00:00:00,USA,B. Allen,N,71,6,1968,Bob,6-9,50,Marshall/USA,Allen,Y,Forward,Marshall,0.0,205
52,1628960.0,"Allen, Grayson",Grayson Allen,0.0,2018,2018,grayson_allen,0.0,,,,,Y,1995-10-08T00:00:00,USA,G. Allen,Y,21,1,2018,Grayson,6-5,24,Duke University/USA,Allen,Y,Guard,Duke,0.0,198
53,1628386.0,"Allen, Jarrett",Jarrett Allen,1.0,2017,2018,jarrett_allen,1610612751.0,Brooklyn,Nets,BKN,nets,Y,1998-04-21T00:00:00,USA,J. Allen,N,22,1,2017,Jarrett,6-11,31,Texas/USA,Allen,Y,Center,Texas,1.0,237
54,706.0,"Allen, Jerome",Jerome Allen,0.0,1995,1996,jerome_allen,0.0,,,,,Y,1973-01-28T00:00:00,USA,J. Allen,N,49,2,1995,Jerome,6-4,53,Pennsylvania/USA,Allen,Y,Guard,Pennsylvania,1.0,184
55,1628443.0,"Allen, Kadeem",Kadeem Allen,1.0,2017,2018,kadeem_allen,1610612738.0,Boston,Celtics,BOS,celtics,Y,1993-01-15T00:00:00,USA,K. Allen,Y,53,2,2017,Kadeem,6-3,45,ArizonaUSA/USA,Allen,Y,Guard,Arizona,1.0,200
56,202730.0,"Allen, Lavoy",Lavoy Allen,0.0,2011,2016,lavoy_allen,0.0,,,,,Y,1989-02-04T00:00:00,USA,L. Allen,Y,50,2,2011,Lavoy,6-9,5,Temple/USA,Allen,Y,Forward-Center,Temple,6.0,260
57,76027.0,"Allen, Lucius",Lucius Allen,0.0,1969,1978,HISTADD_lucius_allen,0.0,,,,,Y,1947-09-26T00:00:00,USA,L. Allen,N,3,1,1969,Lucius,6-2,42,UCLA/USA,Allen,Y,Guard,UCLA,9.0,175
58,2124.0,"Allen, Malik",Malik Allen,0.0,2001,2010,malik_allen,0.0,,,,,Y,1978-06-27T00:00:00,USA,M. Allen,N,Undrafted,Undrafted,Undrafted,Malik,6-10,35,Villanova/USA,Allen,Y,Forward,Villanova,10.0,255
59,76025.0,"Allen, Randy",Randy Allen,0.0,1988,1989,HISTADD_randy_allen,0.0,,,,,Y,1965-01-26T00:00:00,USA,R. Allen,N,Undrafted,Undrafted,Undrafted,Randy,6-8,33,Florida State/USA,Allen,Y,Forward,Florida State,1.0,220
60,951.0,"Allen, Ray",Ray Allen,0.0,1996,2013,ray_allen,0.0,,,,,Y,1975-07-20T00:00:00,USA,R. Allen,N,5,1,1996,Ray,6-5,34,Connecticut/USA,Allen,Y,Guard,Connecticut,17.0,205
61,2754.0,"Allen, Tony",Tony Allen,0.0,2004,2017,tony_allen,0.0,,,,,Y,1982-01-11T00:00:00,USA,T. Allen,N,25,1,2004,Tony,,,Oklahoma State/USA,Allen,Y,,Oklahoma State,13.0,
62,76029.0,"Allison, Odis",Odis Allison,0.0,1971,1971,HISTADD_odis_allison,0.0,,,,,Y,1949-10-02T00:00:00,USA,O. Allison,N,76,5,1971,Odis,6-6,22,Laney Coll. CA (J.C.); Nevada-Las Vegas/USA,Allison,Y,Forward,Nevada-Las Vegas,0.0,195
63,200984.0,"Allred, Lance",Lance Allred,0.0,2007,2007,lance_allred,0.0,,,,,Y,1981-02-02T00:00:00,USA,L. Allred,Y,Undrafted,Undrafted,Undrafted,Lance,6-11,41,Weber State/USA,Allred,Y,Center,Weber State,1.0,250
64,76030.0,"Allums, Darrell",Darrell Allums,0.0,1980,1980,HISTADD_darrell_allums,0.0,,,,,Y,1958-09-12T00:00:00,USA,D. Allums,N,103,5,1980,Darrell,6-8,32,UCLA/USA,Allums,Y,Forward,UCLA,0.0,220
65,201165.0,"Almond, Morris",Morris Almond,0.0,2007,2011,morris_almond,0.0,,,,,Y,1985-02-02T00:00:00,USA,M. Almond,Y,25,1,2007,Morris,6-6,21,Rice/USA,Almond,Y,Guard,Rice,3.0,225
66,308.0,"Alston, Derrick",Derrick Alston,0.0,1994,1996,derrick_alston,0.0,,,,,Y,1972-08-20T00:00:00,USA,D. Alston,N,33,2,1994,Derrick,,,Duquesne/USA,Alston,Y,,Duquesne,2.0,
67,1747.0,"Alston, Rafer",Rafer Alston,0.0,1999,2009,rafer_alston,0.0,,,,,Y,1976-07-24T00:00:00,USA,R. Alston,Y,39,2,1998,Rafer,6-2,11,Fresno State/USA,Alston,Y,Guard,Fresno State,10.0,175
68,1824.0,"Aluma, Peter",Peter Aluma,0.0,1998,1998,peter_aluma,0.0,,,,,Y,1973-04-26T00:00:00,USA,P. Aluma,N,Undrafted,Undrafted,Undrafted,Peter,,,Liberty/USA,Aluma,Y,,Liberty,0.0,
69,680.0,"Amaechi, John",John Amaechi,0.0,1995,2002,john_amaechi,0.0,,,,,Y,1970-11-26T00:00:00,England,J. Amaechi,N,Undrafted,Undrafted,Undrafted,John,6-10,13,Penn State ''95/England,Amaechi,Y,Forward-Center,Penn State,5.0,270
70,732.0,"Amaya, Ashraf",Ashraf Amaya,0.0,1995,1996,ashraf_amaya,0.0,,,,,Y,1971-11-23T00:00:00,USA,A. Amaya,N,Undrafted,Undrafted,Undrafted,Ashraf,,,Southern Illinois/USA,Amaya,Y,,Southern Illinois,1.0,
71,202329.0,"Aminu, Al-Farouq",Al-Farouq Aminu,1.0,2010,2018,al-farouq_aminu,1610612757.0,Portland,Trail Blazers,POR,blazers,Y,1990-09-21T00:00:00,USA,A. Aminu,N,8,1,2010,Al-Farouq,6-9,8,Wake Forest/USA,Aminu,Y,Forward,Wake Forest,8.0,220
72,200811.0,"Amundson, Lou",Lou Amundson,0.0,2006,2015,lou_amundson,0.0,,,,,Y,1982-12-07T00:00:00,USA,L. Amundson,Y,Undrafted,Undrafted,Undrafted,Lou,6-9,17,Nevada-Las Vegas/USA,Amundson,Y,Forward,Nevada-Las Vegas,10.0,220
73,76034.0,"Anderegg, Bob",Bob Anderegg,0.0,1959,1959,HISTADD_bob_anderegg,0.0,,,,,Y,1937-08-24T00:00:00,USA,B. Anderegg,N,20,3,1959,Bob,6-3,18,Michigan State/USA,Anderegg,Y,Forward,Michigan State,0.0,200
74,2365.0,"Andersen, Chris",Chris Andersen,0.0,2001,2016,chris_andersen,0.0,,,,,Y,1978-07-07T00:00:00,USA,C. Andersen,N,Undrafted,Undrafted,Undrafted,Chris,,,Blinn Junior College (TX)/USA,Andersen,Y,,Blinn,14.0,
75,2431.0,"Andersen, David",David Andersen,0.0,2009,2010,david_andersen,0.0,,,,,Y,1980-06-23T00:00:00,USA,D. Andersen,N,36,2,2002,David,,,"Frankston, Australia/USA",Andersen,Y,,"Frankston, Australia",19.0,
76,101187.0,"Anderson, Alan",Alan Anderson,0.0,2005,2016,alan_anderson,0.0,,,,,Y,1982-10-16T00:00:00,USA,A. Anderson,Y,Undrafted,Undrafted,Undrafted,Alan,6-6,9,Michigan State/USA,Anderson,Y,Forward-Guard,Michigan State,8.0,220
77,202079.0,"Anderson, Antonio",Antonio Anderson,0.0,2009,2009,antonio_anderson,0.0,,,,,Y,1985-06-05T00:00:00,USA,A. Anderson,Y,Undrafted,Undrafted,Undrafted,Antonio,,,Memphis/USA,Anderson,Y,,Memphis,1.0,
78,76035.0,"Anderson, Cliff",Cliff Anderson,0.0,1967,1970,HISTADD_cliff_anderson,0.0,,,,,Y,1944-09-07T00:00:00,USA,C. Anderson,N,35,4,1967,Cliff,6-2,26,St. Joseph's (PA)/USA,Anderson,Y,Guard,Saint Joseph's,2.0,200
79,76036.0,"Anderson, Daniel",Daniel Anderson,0.0,1974,1975,HISTADD_daniel_anderson,0.0,,,,,Y,1951-01-01T00:00:00,USA,D. Anderson,N,92,6,1974,Daniel,6-2,33,USC/USA,Anderson,Y,Guard,Southern California,1.0,185
80,1507.0,"Anderson, Derek",Derek Anderson,0.0,1997,2007,derek_anderson,0.0,,,,,Y,1974-07-18T00:00:00,USA,D. Anderson,N,13,1,1997,Derek,6-5,1,Kentucky/USA,Anderson,Y,Guard,Kentucky,11.0,195
81,76037.0,"Anderson, Dwight",Dwight Anderson,0.0,1982,1982,HISTADD_dwight_anderson,0.0,,,,,Y,1960-12-28T00:00:00,USA,D. Anderson,N,41,2,1982,Dwight,6-3,20,Kentucky; USC/USA,Anderson,Y,Guard,Southern California,0.0,185
82,944.0,"Anderson, Eric",Eric Anderson,0.0,1992,1993,eric_anderson,0.0,,,,,Y,1970-05-26T00:00:00,USA,E. Anderson,N,Undrafted,Undrafted,Undrafted,Eric,6-9,42,Indiana/USA,Anderson,Y,Forward,Indiana,1.0,220
83,246.0,"Anderson, Greg",Greg Anderson,0.0,1987,1997,greg_anderson,0.0,,,,,Y,1964-06-22T00:00:00,USA,G. Anderson,N,23,1,1987,Greg,6-10,0,Houston/USA,Anderson,Y,Center-Forward,Houston,9.0,250
84,202341.0,"Anderson, James",James Anderson,0.0,2010,2015,james_anderson,0.0,,,,,Y,1989-03-25T00:00:00,USA,J. Anderson,Y,20,1,2010,James,6-6,5,Oklahoma State/USA,Anderson,Y,Guard-Forward,Oklahoma State,5.0,213
85,76040.0,"Anderson, Jerome",Jerome Anderson,0.0,1975,1976,HISTADD_jerome_anderson,0.0,,,,,Y,1953-10-09T00:00:00,USA,J. Anderson,N,53,3,1975,Jerome,6-5,21-23,West Virginia/USA,Anderson,Y,Guard,West Virginia,1.0,195
86,1626147.0,"Anderson, Justin",Justin Anderson,1.0,2015,2018,justin_anderson,1610612755.0,Philadelphia,76ers,PHI,sixers,Y,1993-11-19T00:00:00,USA,J. Anderson,Y,21,1,2015,Justin,6-6,1,Virginia/USA,Anderson,Y,Guard-Forward,Virginia,3.0,230
87,72.0,"Anderson, Kenny",Kenny Anderson,0.0,1991,2004,kenny_anderson,0.0,,,,,Y,1970-10-09T00:00:00,USA,K. Anderson,N,2,1,1991,Kenny,,,Georgia Tech '93/USA,Anderson,Y,,Georgia Tech,13.0,
88,76041.0,"Anderson, Kim",Kim Anderson,0.0,1978,1978,HISTADD_kim_anderson,0.0,,,,,Y,1955-05-12T00:00:00,USA,K. Anderson,N,146,7,1978,Kim,6-7,42,Missouri/USA,Anderson,Y,Forward,Missouri,0.0,200
89,203937.0,"Anderson, Kyle",Kyle Anderson,1.0,2014,2018,kyle_anderson,1610612759.0,San Antonio,Spurs,SAS,spurs,Y,1993-09-20T00:00:00,USA,K. Anderson,Y,30,1,2014,Kyle,6-9,1,UCLA/USA,Anderson,Y,Forward,UCLA,4.0,230
90,76042.0,"Anderson, Michael",Michael Anderson,0.0,1988,1988,HISTADD_michael_anderson,0.0,,,,,Y,1966-03-23T00:00:00,USA,M. Anderson,N,73,3,1988,Michael,5-11,10,Drexel/USA,Anderson,Y,Guard,Drexel,0.0,184
91,76043.0,"Anderson, Mitchell",Mitchell Anderson,0.0,1982,1984,HISTADD_jj_anderson,0.0,,,,,Y,1960-09-23T00:00:00,USA,M. Anderson,N,36,2,1982,Mitchell,6-8,11,Bradley/USA,Anderson,Y,Forward,Bradley,2.0,195
92,98.0,"Anderson, Nick",Nick Anderson,0.0,1989,2002,nick_anderson,0.0,,,,,Y,1968-01-20T00:00:00,USA,N. Anderson,N,11,1,1989,Nick,6-6,5,Illinois ''90/USA,Anderson,Y,Forward-Guard,Illinois,13.0,228
93,76045.0,"Anderson, Richard",Richard Anderson,0.0,1982,1989,HISTADD_richard_anderson,0.0,,,,,Y,1960-11-19T00:00:00,USA,R. Anderson,N,32,2,1982,Richard,6-10,35,California-Santa Barbara/USA,Anderson,Y,Forward,California-Santa Barbara,5.0,240
94,76046.0,"Anderson, Ron",Ron Anderson,0.0,1984,1993,HISTADD_ron_anderson,0.0,,,,,Y,1958-10-15T00:00:00,USA,R. Anderson,N,27,2,1984,Ron,6-7,35,California-Santa Barbara; Fresno State/USA,Anderson,Y,Forward,Fresno State,9.0,215
95,201583.0,"Anderson, Ryan",Ryan Anderson,1.0,2008,2018,ryan_anderson,1610612745.0,Houston,Rockets,HOU,rockets,Y,1988-05-06T00:00:00,USA,R. Anderson,N,21,1,2008,Ryan,6-10,15,California/USA,Anderson,Y,Forward,California,10.0,240
96,1000.0,"Anderson, Shandon",Shandon Anderson,0.0,1996,2005,shandon_anderson,0.0,,,,,Y,1973-12-31T00:00:00,USA,S. Anderson,N,54,2,1996,Shandon,6-6,49,Georgia/USA,Anderson,Y,Guard-Forward,Georgia,9.0,215
